,Size##LENGTH##MILLIMETERS,AirFlow##HVAC_AIR_FLOW##CUBIC_METERS_PER_HOUR,Pressure##HVAC_PRESSURE##PASCALS,MotorPower##ELECTRICAL_POWER##KILOWATTS,RPM##NUMBER##GENERAL
280/8/25/3H,280,500,400,0.37,2800
315/5-10/30/3H,315,750,400,0.37,2800
315/5-10/40/3H,315,1000,400,0.75,2800
315/8/35/3H,315,1250,400,0.75,2800
355/6-12/25/3H,355,1500,400,0.55,2800
355/8/30/3H,355,1750,400,0.75,2800
355/8/30/3H,355,2000,400,0.75,2800
560/12/25/42,560,2000,400,1.1,1420
355/6-12/35/3H,355,2500,400,1.1,2800
560/12/30/42,560,2500,400,1.5,1420
400/6-12/25/3H,400,3000,400,1.1,2800
630/9/30/4Z,630,3000,400,1.5,1420
400/7-14/25/3H,400,3500,400,1.1,2800
630/9/30/4Z,630,3500,400,1.5,1420
400/10/25/3H,400,4000,400,1.1,2800
630/9/35/42,630,4000,400,2.2,1420
450/4-8/35/3H,450,4500,400,1.5,2800
630/12/30/4Z,630,4500,400,2.2,1420
450/6/25/3H,450,5000,400,1.5,2800
630/12/35/4Z,630,5000,400,2.2,1420
450/10/25/3H,450,6000,400,1.5,2800
710/6/25/5Z,710,6000,400,2.2,1420
450/5-12/30/3H,450,7000,400,2.2,2800
710/12/25/4Z,710,7000,400,2.2,1420
450/5-10/40/3H,450,8000,400,2.2,2800
710/9/35/5Z,710,8000,400,3,1430
450/8/35/3H,450,9000,400,2.2,2800
800/9/25/5Z,800,9000,400,3,1430
450/8-12/40/3H,450,10000,400,3,2850
800/9-12/25/5Z,800,10000,400,3,1430
500/6-12/35/3H,500,12000,400,4,2850
800/9/32.8/42,800,12000,400,4,1440
500/6-12/45/3H,500,14000,400,5.5,2850
800/9/32.5/5Z,800,14000,400,4,1440
500/6-9/45/4Z,500,16000,400,7.5,2850
800/9/35/5Z,800,16000,400,5.5,1440
500/9/45/4Z,500,18000,400,11,2850
800/12/30/5Z,800,18000,400,5.5,1440
900/8-16/30/4Z,900,18000,400,5.5,1440
900/8-16/32.5/4Z,900,20000,400,7.5,1440
900/9/37.5/5Z,900,25000,400,7.5,1440
1000/9-12/30/4Z,1000,25000,400,7.5,1440
900/9/40/5Z,900,30000,400,11,1440
1000/9/35/5Z,1000,30000,400,11,1440
1000/9/37.5/5Z,1000,35000,400,11,1440
1000/9/37.5/5Z,1000,35000,400,11,1440
1000/9/32.5/4Z,1000,40000,400,15,1440
1000/8-16/37.5/5Z,1000,40000,400,11,1440
1000/9-12/40/5Z,1000,45000,400,15,1440
1000/12/40/5Z,1000,50000,400,15,1440
1000/16/40/5Z,1000,55000,400,22,1440
280/8/30/3H,280,500,450,0.37,2800
315/8/25/3H,315,750,450,0.37,2800
315/10/25/3H,315,1000,450,0.55,2800
315/10/35/3H,315,1250,450,0.75,2800
355/6-15/30/3H,355,1500,450,0.75,2800
355/8/30/3H,355,1750,450,0.75,2800
355/8/3/3H,355,2000,450,1.1,2800
630/9-12/25/5Z,630,2000,450,1.5,1420
355/6-12/403H,355,2500,450,1.1,2800
630/12/20/4Z,630,2500,450,1.1,1420
400/10/25/3H,400,3000,450,1.1,2800
630/12/25/4Z,630,3000,450,1.5,1420
400/5-10/35/3H,400,3500,450,1.5,2800
630/12/30/3Z,630,3500,450,2.2,1420
400/5-10/40/3H,400,4000,450,1.5,2800
630/12/32.5/4Z,630,4000,450,2.2,1420
450/8/25/3H,450,4500,450,1.5,2800
710/9/25/5Z,710,4500,450,2.2,1420
450/8-12/25/3H,450,5000,450,1.5,2800
710/9/32.5/4Z,710,5000,450,3,1420
450/8/30/3H,450,6000,450,1.5,2800
710/12/25/5Z,710,6000,450,3,1420
450/10/30/3H,450,7000,450,2.2,2800
710/12/32.5/4Z,710,7000,450,3,1420
450/8/35/3H,450,8000,450,2.2,2800
800/9-12/25/3Z,800,8000,450,3,1430
450/10/35/3H,450,9000,450,3,2850
800/9/30/4Z,800,9000,450,3,1430
450/10/40/3H,450,10000,450,4,2850
800/12/25/3H,800,10000,450,3,1430
500/5-10/45/3H,500,12000,450,5.5,2850
800/9/37.5/4Z,800,12000,450,5.5,1440
500/10/403H,500,14000,450,5.5,2850
800/12/32.5/4Z,800,14000,450,5.5,1440
500/10/45/3H,500,16000,450,7.5,2850
800/12/37.5/4Z,800,16000,450,7.5,1420
800/12/32.5/5Z,800,18000,450,7.5,1440
