,Size##LENGTH##MILLIMETERS,AirFlow##HVAC_AIR_FLOW##CUBIC_METERS_PER_HOUR,Pressure##HVAC_PRESSURE##PASCALS,MotorPower##ELECTRICAL_POWER##KILOWATTS,RPM##NUMBER##GENERAL
180/400/400,180,400,400,0.18,2730
180/500/400,180,500,400,0.18,2730
180/630/400,180,630,400,0.18,2730
180/800/400,180,800,400,0.18,2730
200/1000/400,200,1000,400,0.18,2730
200/1250/400,200,1250,400,0.25,2751
280/1600/400,280,1600,400,0.25,1379
315/2000/400,315,2000,400,0.37,1379
315/2500/400,315,2500,400,0.55,1397
315/3150/400,315,3150,400,0.75,1399
355/4000/400,355,4000,400,1.1,1399
355/5000/400,355,5000,400,1.1,1405
400/6300/400,400,6300,400,1.5,1409
500/8000/400,500,8000,400,1.5,1409
500/10000/400,500,10000,400,3,1413
500/12500/400,500,12500,400,4,1413
560/16000/400,560,16000,400,4,1413
710/20000/400,710,20000,400,5.5,954
800/25000/400,800,25000,400,5.5,720
800/31500/400,800,31500,400,11,965
1000/40000/400,1000,40000,400,7.5,590
1000/50000/400,1000,50000,400,15,965
180/400/500,180,400,500,0.18,2730
180/500/500,180,500,500,0.18,2730
180/630/500,180,630,500,0.18,2730
180/800/500,180,800,500,0.25,2730
180/1000/500,180,1000,500,0.25,2751
200/1250/500,200,1250,500,0.37,2788
224/1600/500,224,1600,500,0.55,2788
224/2000/500,224,2000,500,0.55,2798
224/2500/500,224,2500,500,0.75,2826
250/3150/500,250,3150,500,1.1,2826
355/4000/500,355,4000,500,1.1,1405
355/5000/500,355,5000,500,1.5,1409
450/6300/500,450,6300,500,1.5,1409
450/8000/500,450,8000,500,2.2,1413
500/10000/500,500,10000,500,3,1413
560/12500/500,560,12500,500,4,953
630/16000/500,630,16000,500,4,954
710/20000/500,710,20000,500,5.5,720
800/25000/500,800,25000,500,7.5,720
800/31500/500,800,31500,500,11,720
1000/40000/500,1000,40000,500,11,720
1000/50000/500,1000,50000,500,15,726
180/400/630,180,400,630,0.18,2730
180/500/630,180,500,630,0.18,2730
180/630/630,180,630,630,0.18,2730
180/800/630,180,800,630,0.25,2751
200/1000/630,200,1000,630,0.37,2788
200/1250/630,200,1250,630,0.37,2788
200/1600/630,200,1600,630,0.55,2798
224/2000/630,224,2000,630,0.75,2826
224/2500/630,224,2500,630,1.1,2826
315/3150/630,315,3150,630,1.1,2827
315/4000/630,315,4000,630,1.5,2838
400/5000/630,400,5000,630,1.5,1409
500/6300/630,500,6300,630,1.5,1409
500/8000/630,500,8000,630,3,1413
560/10000/630,560,10000,630,3,1413
560/12500/630,560,12500,630,4,954
630/16000/630,630,16000,630,5.5,1438
710/20000/630,710,20000,630,7.5,965
800/25000/630,800,25000,630,7.5,720
900/31500/630,900,31500,630,11,965
1000/40000/630,1000,40000,630,11,726
1000/50000/630,1000,50000,630,22,730
1000/63000/630,1000,63000,630,30,730
1400/100000/630,1400,100000,630,37,733
