,Model##OTHER##,AirFlow##HVAC_AIR_FLOW##CUBIC_METERS_PER_HOUR,Pressure##HVAC_PRESSURE##PASCALS,MotorPower##ELECTRICAL_POWER##KILOWATTS,RPM##NUMBER##GENERAL
TD EVO-100,TD EVO-100,50,75,0.01,2250
TD EVO-100,TD EVO-100,100,70,0.01,2250
TD EVO-100,TD EVO-100,150,40,0.01,2250
TD EVO-125,TD EVO-125,100,100,0.01,2250
TD EVO-125,TD EVO-125,150,100,0.01,2250
TD EVO-125,TD EVO-125,200,80,0.01,2250
TD EVO-125,TD EVO-125,250,50,0.01,2250
TD EVO-150,TD EVO-150,100,200,0.01,2650
TD EVO-150,TD EVO-150,200,180,0.01,2650
TD EVO-150,TD EVO-150,300,170,0.01,2650
TD EVO-150,TD EVO-150,400,140,0.01,2650
TD EVO-150,TD EVO-150,500,75,0.01,2650
TD EVO-160,TD EVO-160,100,220,0.01,2650
TD EVO-160,TD EVO-160,200,170,0.01,2650
TD EVO-160,TD EVO-160,300,170,0.01,2650
TD EVO-160,TD EVO-160,400,140,0.01,2650
TD EVO-160,TD EVO-160,500,75,0.01,2650
TD EVO-200,TD EVO-200,200,250,0.01,2630
TD EVO-200,TD EVO-200,300,230,0.01,2630
TD EVO-200,TD EVO-200,400,230,0.01,2630
TD EVO-200,TD EVO-200,500,230,0.01,2630
TD EVO-200,TD EVO-200,600,200,0.01,2630
TD EVO-200,TD EVO-200,700,150,0.01,2630
TD EVO-200,TD EVO-200,800,50,0.01,2630
TD EVO-250,TD EVO-250,200,400,0.15,2640
TD EVO-250,TD EVO-250,400,370,0.15,2640
TD EVO-250,TD EVO-250,600,300,0.15,2640
TD EVO-250,TD EVO-250,800,300,0.15,2640
TD EVO-250,TD EVO-250,1000,240,0.15,2640
TD EVO-250,TD EVO-250,1200,130,0.15,2640
TD EVO-315,TD EVO-315,400,420,0.02,2640
TD EVO-315,TD EVO-315,600,400,0.02,2640
TD EVO-315,TD EVO-315,800,380,0.02,2640
TD EVO-315,TD EVO-315,1000,350,0.02,2640
TD EVO-315,TD EVO-315,1200,300,0.02,2640
TD EVO-315,TD EVO-315,1400,200,0.02,2640
TD EVO-315,TD EVO-315,1600,100,0.02,2640
